Depth Of Cut,Feed Rate,Lenght Of Cut,Load X,Load Y
0.5,0.2,1.0,329.89,155807.0
0.5,0.2,1.0,330.04,156532.0
0.5,0.2,1.0,330324.0,156975.0
0.5,0.2,1.0,331042.0,157132.0
0.5,0.2,1.0,331401.0,157621.0
0.5,0.2,1.0,331817.0,157669.0
0.5,0.2,1.0,332099.0,158224.0
0.5,0.2,1.0,332493.0,158553.0
0.5,0.2,1.0,332883.0,158999.0
0.5,0.2,1.0,333268.0,159044.0
0.5,0.2,1.0,333633.0,159718.0
0.5,0.2,1.0,333891.0,160171.0
0.5,0.2,1.0,334.59,160188.0
0.5,0.2,1.0,334752.0,161071.0
0.5,0.2,1.0,335408.0,161081.0
0.5,0.2,1.0,335591.0,161707.0
0.5,0.2,1.0,336206.0,161829.0
0.5,0.2,1.0,336698.0,162338.0
0.5,0.2,1.0,336769.0,162926.0
0.5,0.2,1.0,337059.0,163406.0
0.5,0.2,1.0,337311.0,163878.0
0.5,0.2,1.0,337587.0,164098.0
0.5,0.2,1.0,337866.0,164369.0
0.5,0.2,1.0,338455.0,165095.0
0.5,0.2,1.0,338325.0,165042.0
0.5,0.2,1.0,338813.0,165323.0
0.5,0.2,1.0,339142.0,165677.0
0.5,0.2,1.0,339474.0,165922.0
0.5,0.2,1.0,339.83,166079.0
0.5,0.2,1.0,340051.0,166189.0
0.5,0.2,1.0,340246.0,166587.0
0.5,0.2,1.0,340655.0,166821.0
0.5,0.2,1.0,340769.0,166889.0
0.5,0.2,1.0,341022.0,166918.0
0.5,0.2,1.0,341224.0,167099.0
0.5,0.2,1.0,341.02,167089.0
0.5,0.2,1.0,341354.0,167279.0
0.5,0.2,1.0,341476.0,167415.0
0.5,0.2,1.0,341923.0,168273.0
0.5,0.2,1.0,342436.0,168.33
0.5,0.2,1.0,343.4,169573.0
0.5,0.2,1.0,344393.0,171057.0
0.5,0.2,1.0,345586.0,172765.0
0.5,0.2,1.0,346582.0,174288.0
0.5,0.2,1.0,347974.0,176217.0
0.5,0.2,1.0,348.94,177688.0
0.5,0.2,1.0,350227.0,179703.0
0.5,0.2,1.0,351533.0,181946.0
0.5,0.2,1.0,352597.0,184059.0
0.5,0.2,1.0,353984.0,186.35
0.5,0.2,1.0,354944.0,188467.0
0.5,0.2,1.0,356115.0,190237.0
0.5,0.2,1.0,357.55,192446.0
0.5,0.2,1.0,358412.0,194757.0
0.5,0.2,1.0,360227.0,196576.0
0.2,0.5,1.5,829451.0,904705.0
0.2,0.5,1.5,105.14,923158.0
0.2,0.5,1.5,139873.0,145846.0
0.2,0.5,1.5,150822.0,180734.0
0.2,0.5,1.5,187372.0,222435.0
0.2,0.5,1.5,204966.0,257306.0
0.2,0.5,1.5,210838.0,259646.0
0.2,0.5,1.5,228636.0,301194.0
0.2,0.5,1.5,231383.0,301621.0
0.2,0.5,1.5,247523.0,348679.0
0.2,0.5,1.5,253755.0,361852.0
0.2,0.5,1.5,256934.0,365391.0
0.2,0.5,1.5,271895.0,419464.0
0.2,0.5,1.5,275145.0,416779.0
0.2,0.5,1.5,289791.0,458424.0
0.2,0.5,1.5,292538.0,459608.0
0.2,0.5,1.5,305037.0,526883.0
0.2,0.5,1.5,309114.0,555428.0
0.2,0.5,1.5,311515.0,552257.0
0.2,0.5,1.5,314098.0,538561.0
0.2,0.5,1.5,318936.0,533363.0
0.2,0.5,1.5,323789.0,534481.0
0.2,0.5,1.5,335707.0,617975.0
0.2,0.5,1.5,340359.0,64916.0
0.2,0.5,1.5,341193.0,658128.0
0.2,0.5,1.5,351036.0,72807.0
0.2,0.5,1.5,354.47,747266.0
0.2,0.5,1.5,354914.0,734815.0
0.2,0.5,1.5,351444.0,607968.0
0.2,0.5,1.5,354018.0,606116.0
0.2,0.5,1.5,360199.0,629036.0
0.2,0.5,1.5,376025.0,759057.0
0.2,0.5,1.5,381453.0,810662.0
0.2,0.5,1.5,384612.0,844585.0
0.2,0.5,1.5,385802.0,854369.0
0.2,0.5,1.5,393565.0,894867.0
0.2,0.5,1.5,393205.0,814277.0
0.2,0.5,1.5,396432.0,85302.0
0.2,0.5,1.5,399026.0,892577.0
0.2,0.5,1.5,400759.0,919856.0
0.2,0.5,1.5,403.81,950472.0
0.2,0.5,1.5,419731.0,104116.0
0.2,0.5,1.5,424353.0,107325.0
0.2,0.5,1.5,427245.0,110126.0
0.2,0.5,1.5,429495.0,112777.0
0.2,0.5,1.5,430215.0,112961.0
0.2,0.5,1.5,435491.0,116598.0
0.2,0.5,1.5,424139.0,881013.0
0.2,0.5,1.5,429263.0,919504.0
0.2,0.5,1.5,433.65,984679.0
0.2,0.5,1.5,437076.0,103847.0
0.2,0.5,1.5,437851.0,104097.0
0.2,0.5,1.5,450885.0,113733.0
0.2,0.5,1.5,460.74,123775.0
0.2,0.5,1.5,464.4,128146.0
0.2,0.5,1.5,466619.0,128921.0
0.2,0.5,1.5,465.79,124039.0
0.2,0.5,1.5,461025.0,110203.0
0.2,0.5,1.5,465933.0,115958.0
0.2,0.5,1.5,473772.0,126835.0
0.2,0.5,1.5,477602.0,132318.0
0.2,0.5,1.5,479907.0,135.42
0.2,0.5,1.5,481215.0,137547.0
0.2,0.5,1.5,493009.0,143363.0
0.2,0.5,1.5,494039.0,144634.0
0.2,0.5,1.5,502416.0,153297.0
0.2,0.5,1.5,505888.0,157173.0
0.2,0.5,1.5,507.24,156.7
0.2,0.5,1.5,505566.0,149203.0
0.2,0.5,1.5,501768.0,138.88
0.2,0.5,1.5,497441.0,126836.0
0.2,0.5,1.5,501805.0,133381.0
0.2,0.5,1.5,504328.0,136741.0
0.2,0.5,1.5,510538.0,145226.0
0.2,0.5,1.5,514452.0,150673.0
0.2,0.5,1.5,515.93,152.59
0.2,0.5,1.5,528892.0,161178.0
0.2,0.5,1.5,533132.0,165761.0
0.2,0.5,1.5,535732.0,169388.0
0.2,0.5,1.5,538803.0,170335.0
0.2,0.5,1.5,536009.0,161348.0
0.2,0.5,1.5,531622.0,151383.0
0.2,0.5,1.5,525453.0,139971.0
0.2,0.5,1.5,527348.0,140918.0
0.2,0.5,1.5,532064.0,146708.0
0.2,0.5,1.5,536146.0,151957.0
0.2,0.5,1.5,539198.0,156027.0
0.2,0.5,1.5,542757.0,161058.0
0.2,0.5,1.5,542757.0,161058.0
0.2,0.5,1.5,533607.0,140004.0
0.2,0.5,1.5,542604.0,140151.0
0.2,0.5,1.5,538895.0,144453.0
0.2,0.5,1.5,538895.0,144453.0
0.2,0.5,1.5,547733.0,158541.0
0.2,0.5,1.5,550.68,160916.0
0.2,0.5,1.5,553087.0,163677.0
0.2,0.5,1.5,555497.0,164124.0
0.2,0.5,1.5,572.87,174993.0
0.2,0.5,1.5,579268.0,179022.0
0.2,0.5,1.5,581473.0,190519.0
0.2,0.5,1.5,586162.0,198279.0
0.2,0.5,1.5,588581.0,203157.0
0.2,0.5,1.5,589.19,205629.0
0.2,0.5,1.5,595216.0,214064.0
0.2,0.5,1.5,597817.0,218237.0
0.2,0.5,1.5,599709.0,221509.0
0.2,0.5,1.5,601845.0,224264.0
0.2,0.5,1.5,602667.0,226745.0
0.2,0.5,1.5,604581.0,228725.0
0.2,0.5,1.5,605365.0,230846.0
0.2,0.5,1.5,606598.0,232666.0
0.2,0.5,1.5,607084.0,233627.0
0.2,0.5,1.5,618271.0,237324.0
0.2,0.5,1.5,605439.0,205241.0
0.2,0.5,1.5,585038.0,172217.0
0.2,0.5,1.5,588138.0,174238.0
0.2,0.5,1.5,595891.0,184168.0
0.2,0.5,1.5,604462.0,196619.0
0.2,0.5,1.5,611859.0,207582.0
0.2,0.5,1.5,616707.0,217063.0
0.2,0.5,1.5,620717.0,224788.0
0.2,0.5,1.5,623759.0,230736.0
0.2,0.5,1.5,625713.0,235288.0
0.2,0.5,1.5,626605.0,236448.0
0.2,0.5,1.5,628212.0,239739.0
0.2,0.5,1.5,629899.0,242481.0
0.2,0.5,1.5,631341.0,245147.0
0.2,0.5,1.5,632112.0,247449.0
0.2,0.5,1.5,633334.0,249385.0
0.2,0.5,1.5,633697.0,250828.0
0.2,0.5,1.5,645868.0,255306.0
0.2,0.5,1.5,629789.0,220459.0
0.2,0.5,1.5,607212.0,185.44
0.2,0.5,1.5,612529.0,190675.0
0.2,0.5,1.5,619141.0,198739.0
0.2,0.5,1.5,623361.0,204.11
0.2,0.5,1.5,629404.0,212719.0
0.2,0.5,1.5,633568.0,219465.0
0.2,0.5,1.5,637838.0,227098.0
0.2,0.5,1.5,640648.0,232806.0
0.2,0.5,1.5,643041.0,237236.0
0.2,0.5,1.5,645399.0,242074.0
0.2,0.5,1.5,647643.0,245111.0
0.2,0.5,1.5,648599.0,248216.0
0.2,0.5,1.5,650.43,250584.0
0.2,0.5,1.5,651477.0,253228.0
0.2,0.5,1.5,652481.0,254858.0
0.2,0.5,1.5,653571.0,256562.0
0.2,0.5,1.5,653571.0,256562.0
0.2,0.5,1.5,626499.0,211433.0
0.2,0.5,1.5,640867.0,213531.0
0.2,0.5,1.5,636444.0,212513.0
0.2,0.5,1.5,641798.0,217063.0
0.2,0.5,1.5,648785.0,226263.0
0.2,0.5,1.5,654321.0,234755.0
0.2,0.5,1.5,657701.0,240.4
0.2,0.5,1.5,660594.0,245364.0
0.2,0.5,1.5,662938.0,249517.0
0.2,0.5,1.5,664786.0,252915.0
0.2,0.5,1.5,666403.0,255735.0
0.2,0.5,1.5,667.63,257903.0
0.2,0.5,1.5,668989.0,260135.0
0.2,0.5,1.5,670.2,262051.0
0.2,0.5,1.5,671266.0,263735.0
0.2,0.5,1.5,672054.0,265034.0
0.2,0.5,1.5,673096.0,266754.0
0.2,0.5,1.5,674118.0,268257.0
0.2,0.5,1.5,675036.0,269795.0
0.2,0.5,1.5,675599.0,270903.0
0.2,0.5,1.5,677117.0,273134.0
0.2,0.5,1.5,689789.0,280272.0
0.2,0.5,1.5,656992.0,222973.0
0.2,0.5,1.5,667739.0,237.52
0.2,0.5,1.5,677245.0,250696.0
0.2,0.5,1.5,682866.0,259451.0
0.2,0.5,1.5,686429.0,265867.0
0.2,0.5,1.5,689185.0,271186.0
0.2,0.5,1.5,691819.0,276199.0
0.2,0.5,1.5,694273.0,280227.0
0.2,0.5,1.5,695.45,282831.0
0.2,0.5,1.5,697015.0,285102.0
0.2,0.5,1.5,698565.0,288076.0
0.2,0.5,1.5,699615.0,289856.0
0.2,0.5,1.5,699971.0,291264.0
0.2,0.5,1.5,701089.0,292864.0
0.2,0.5,1.5,701721.0,294259.0
0.2,0.5,1.5,702599.0,296028.0
0.2,0.5,1.5,703248.0,297259.0
0.2,0.5,1.5,703.34,297.39
0.2,0.5,1.5,704343.0,299508.0
0.2,0.5,1.5,705216.0,301.09
0.2,0.5,1.5,706085.0,303198.0
0.2,0.5,1.5,706761.0,304896.0
0.2,0.5,1.5,707624.0,306412.0
0.2,0.5,1.5,709057.0,308048.0
0.2,0.5,1.5,709219.0,309319.0
0.2,0.5,1.5,709955.0,310453.0
0.2,0.5,1.5,709957.0,290245.0
0.2,0.5,1.5,679616.0,240949.0
0.2,0.5,1.5,687889.0,249.49
0.2,0.5,1.5,696336.0,260656.0
0.2,0.5,1.5,703522.0,270458.0
0.2,0.5,1.5,710161.0,280465.0
0.2,0.5,1.5,715811.0,289826.0
0.2,0.5,1.5,720818.0,299361.0
0.2,0.5,1.5,724288.0,306846.0
0.2,0.5,1.5,727118.0,312.26
0.2,0.5,1.5,727492.0,313038.0
0.2,0.5,1.5,729415.0,317256.0
0.2,0.5,1.5,731478.0,321574.0
0.2,0.5,1.5,733207.0,324961.0
0.2,0.5,1.5,734027.0,328373.0
0.2,0.5,1.5,735744.0,330987.0
0.2,0.5,1.5,736717.0,333337.0
0.2,0.5,1.5,738254.0,335.39
0.2,0.5,1.5,739295.0,337065.0
0.2,0.5,1.5,740251.0,338697.0
0.2,0.5,1.5,740875.0,340574.0
0.2,0.5,1.5,741985.0,342092.0
0.2,0.5,1.5,742408.0,343654.0
0.2,0.5,1.5,741315.0,345247.0
0.2,0.5,1.5,743702.0,346395.0
0.2,0.5,1.5,744677.0,347637.0
0.2,0.5,1.5,743736.0,349016.0
0.2,0.5,1.5,745735.0,350.29
